id,trad_hyb,trad_hyb_sco
10147,hyb,38
10148,hyb,42
10149,hyb,42
10150,hyb,42
10151,hyb,44
10152,hyb,46
10153,hyb,51
10154,hyb,51
10155,hyb,51
10156,hyb,51
10157,hyb,53
10158,hyb,53
10159,hyb,53
10160,hyb,53
10161,hyb,53
10162,hyb,53
10163,hyb,53
10164,hyb,53
10165,hyb,54
10166,hyb,54
10167,hyb,54
10168,hyb,54
10169,hyb,54
10170,hyb,54
10171,hyb,54
10172,hyb,54
10173,hyb,54
10174,hyb,54
10175,hyb,54
10176,hyb,54
10177,hyb,54
10178,hyb,54
10179,hyb,54
10180,hyb,54
10181,hyb,55
10182,hyb,55
10183,hyb,55
10184,hyb,55
10185,hyb,55
10186,hyb,55
10187,hyb,55
10188,hyb,55
10189,hyb,55
10190,hyb,55
10191,hyb,55
10192,hyb,55
10193,hyb,56
10194,hyb,56
10195,hyb,56
10196,hyb,56
10197,hyb,56
10198,hyb,56
10199,hyb,56
10200,hyb,56
10201,hyb,56
10202,hyb,57
10203,hyb,57
10204,hyb,57
10205,hyb,57
10206,hyb,57
10207,hyb,57
10208,hyb,57
10209,hyb,58
10210,hyb,58
10211,hyb,58
10212,hyb,58
10213,hyb,58
10214,hyb,58
10215,hyb,58
10216,hyb,58
10217,hyb,58
10218,hyb,58
10219,hyb,58
10220,hyb,58
10221,hyb,58
10222,hyb,59
10223,hyb,59
10224,hyb,59
10225,hyb,59
10226,hyb,59
10227,hyb,59
10228,hyb,59
10229,hyb,59
10230,hyb,59
10231,hyb,59
10232,hyb,59
10233,hyb,62
10234,hyb,62
10235,hyb,64
10236,hyb,64
10237,hyb,64
10238,hyb,64
10239,hyb,64
10240,hyb,64
10241,hyb,64
10242,hyb,64
10243,hyb,66
10244,hyb,66
10245,hyb,66
10246,hyb,66
10247,hyb,66
10248,hyb,66
10249,hyb,66
10250,hyb,66
10251,hyb,66
10252,hyb,66
10253,hyb,66
10254,hyb,66
10255,hyb,66
10256,hyb,66
10257,hyb,67
10258,hyb,67
10259,hyb,67
10260,hyb,67
10261,hyb,67
10262,hyb,67
10263,hyb,67
10264,hyb,67
10265,hyb,67
10266,hyb,67
10267,hyb,67
10268,hyb,67
10269,hyb,69
10270,hyb,69
10271,hyb,69
10272,hyb,69
10273,hyb,71
10274,hyb,71
10275,hyb,71
10276,hyb,71
10277,hyb,71
10278,hyb,71
10279,hyb,72
10280,hyb,72
10281,hyb,72
10282,hyb,73
10283,hyb,73
10284,hyb,73
10285,hyb,73
10286,hyb,73
10287,hyb,74
10288,hyb,74
10289,hyb,74
10290,hyb,74
10291,hyb,75
10292,hyb,75
10293,hyb,76
10294,hyb,76
10295,hyb,77
10296,hyb,77
10297,hyb,77
10298,hyb,78
10299,hyb,78
10300,hyb,79
10301,hyb,79
10302,hyb,80
10303,hyb,80
10304,hyb,80
10305,hyb,80
10306,hyb,80
10307,hyb,82
10308,hyb,82
10309,hyb,82
10310,hyb,84
10311,hyb,84
10312,hyb,85
10313,hyb,85
10314,hyb,85
10315,hyb,87
10316,hyb,87
10317,hyb,87
10318,hyb,87
10319,hyb,88
10320,hyb,88
10321,hyb,88
10322,hyb,88
10323,hyb,88
10324,hyb,88
10325,hyb,88
10326,hyb,92
10327,hyb,93
10328,hyb,93
10329,hyb,93
10330,hyb,93
10331,hyb,94
10332,hyb,94
10333,hyb,94
10334,hyb,94
10345,hyb,94
10346,hyb,94
10347,hyb,94
10348,hyb,94
10335,hyb,95
10336,hyb,95
10337,hyb,96
10338,hyb,96
10339,hyb,95
10340,hyb,95
10341,hyb,95
10342,hyb,95
10343,hyb,97
10344,hyb,96
10349,hyb,96
10350,hyb,96
10351,hyb,96
10352,hyb,96
10353,hyb,97
10354,hyb,97
10355,hyb,97
10356,hyb,97
10000,trad,3
10001,trad,8
10002,trad,9
10097,trad,14
10003,trad,19
10098,trad,21
10004,trad,22
10005,trad,26
10099,trad,26
10100,trad,26
10006,trad,27
10101,trad,27
10102,trad,28
10052,trad,30
10007,trad,31
10053,trad,31
10008,trad,33
10054,trad,33
10055,trad,44
10056,trad,46
10103,trad,48
10009,trad,48
10104,trad,48
10057,trad,48
10010,trad,49
10011,trad,49
10058,trad,50
10105,trad,50
10106,trad,51
10107,trad,53
10012,trad,53
10059,trad,55
10013,trad,55
10060,trad,55
10108,trad,56
10014,trad,56
10015,trad,56
10061,trad,56
10062,trad,56
10109,trad,56
10016,trad,57
10110,trad,57
10063,trad,57
10064,trad,57
10111,trad,57
10112,trad,57
10113,trad,57
10114,trad,57
10017,trad,57
10115,trad,57
10116,trad,57
10117,trad,57
10065,trad,57
10118,trad,57
10018,trad,54
10019,trad,54
10066,trad,54
10119,trad,54
10020,trad,57
10021,trad,58
10022,trad,58
10120,trad,58
10023,trad,59
10067,trad,59
10024,trad,60
10068,trad,60
10121,trad,61
10122,trad,61
10123,trad,61
10025,trad,61
10069,trad,61
10070,trad,62
10071,trad,62
10124,trad,62
10125,trad,62
10072,trad,63
10073,trad,63
10026,trad,64
10074,trad,64
10126,trad,64
10027,trad,65
10028,trad,65
10029,trad,65
10030,trad,66
10075,trad,66
10076,trad,66
10127,trad,66
10128,trad,66
10077,trad,67
10129,trad,67
10130,trad,67
10031,trad,68
10032,trad,69
10078,trad,69
10131,trad,69
10132,trad,69
10033,trad,70
10034,trad,70
10079,trad,71
10133,trad,71
10134,trad,71
10135,trad,71
10035,trad,72
10080,trad,72
10136,trad,72
10036,trad,74
10081,trad,75
10137,trad,75
10082,trad,76
10083,trad,77
10084,trad,77
10138,trad,77
10085,trad,78
10139,trad,78
10140,trad,78
10037,trad,79
10141,trad,79
10038,trad,80
10039,trad,80
10086,trad,80
10142,trad,80
10087,trad,81
10088,trad,81
10040,trad,82
10089,trad,83
10041,trad,84
10042,trad,84
10043,trad,84
10044,trad,84
10143,trad,84
10045,trad,87
10046,trad,88
10144,trad,88
10145,trad,88
10090,trad,89
10091,trad,89
10092,trad,90
10093,trad,92
10047,trad,92
10094,trad,92
10146,trad,94
10048,trad,94
10049,trad,95
10050,trad,95
10051,trad,97
10095,trad,97
10096,trad,97
